,sensorId,latitude,longitude,elevation,fromDateTime,tillDateTime,PM1,PM25,PM10,pressure,humidity,temperature,wind_speed,wind_bearing
0,7844,50.05426,19.826462,291.38,2026-03-31 22:00:00+00:00,2026-03-31 23:00:00+00:00,0.3,0.69,0.8,1018.52,72.46,3.13,11.4,311.0
1,7844,50.05426,19.826462,291.38,2026-03-31 23:00:00+00:00,2026-04-01 00:00:00+00:00,0.12,0.3,0.34,1018.76,75.12,2.83,10.98,319.0
2,7844,50.05426,19.826462,291.38,2026-04-01 00:00:00+00:00,2026-04-01 01:00:00+00:00,0.09,0.39,0.45,1018.76,72.58,2.68,9.18,318.0
3,7844,50.05426,19.826462,291.38,2026-04-01 01:00:00+00:00,2026-04-01 02:00:00+00:00,0.05,0.32,0.35,1018.79,71.86,2.1,8.43,325.75
4,7844,50.05426,19.826462,291.38,2026-04-01 02:00:00+00:00,2026-04-01 03:00:00+00:00,0.02,0.13,0.15,1018.92,79.09,1.69,5.65,302.0
5,7844,50.05426,19.826462,291.38,2026-04-01 03:00:00+00:00,2026-04-01 04:00:00+00:00,0.04,0.23,0.33,1019.11,86.96,1.06,6.86,318.0
6,7844,50.05426,19.826462,291.38,2026-04-01 04:00:00+00:00,2026-04-01 05:00:00+00:00,0.32,0.57,0.69,1019.52,75.56,0.33,7.33,325.0
7,7844,50.05426,19.826462,291.38,2026-04-01 05:00:00+00:00,2026-04-01 06:00:00+00:00,0.27,0.69,0.83,1019.91,85.47,0.38,6.82,319.0
8,7844,50.05426,19.826462,291.38,2026-04-01 06:00:00+00:00,2026-04-01 07:00:00+00:00,0.08,0.36,0.4,1019.93,76.63,1.8,8.93,325.0
9,7844,50.05426,19.826462,291.38,2026-04-01 07:00:00+00:00,2026-04-01 08:00:00+00:00,0.02,0.11,0.14,1020.02,66.94,3.45,10.37,333.0
10,7844,50.05426,19.826462,291.38,2026-04-01 08:00:00+00:00,2026-04-01 09:00:00+00:00,0.03,0.2,0.28,1020.03,75.26,4.48,12.64,346.0
11,7844,50.05426,19.826462,291.38,2026-04-01 09:00:00+00:00,2026-04-01 10:00:00+00:00,0.07,0.25,0.28,1019.96,64.51,5.85,11.31,354.0
12,7844,50.05426,19.826462,291.38,2026-04-01 10:00:00+00:00,2026-04-01 11:00:00+00:00,0.04,0.16,0.18,1019.56,50.56,6.58,12.26,358.65
13,7844,50.05426,19.826462,291.38,2026-04-01 11:00:00+00:00,2026-04-01 12:00:00+00:00,0.01,0.13,0.17,1019.01,59.17,7.0,11.55,356.27
14,7844,50.05426,19.826462,291.38,2026-04-01 12:00:00+00:00,2026-04-01 13:00:00+00:00,0.04,0.16,0.2,1018.74,52.07,6.69,12.06,354.16
15,7844,50.05426,19.826462,291.38,2026-04-01 13:00:00+00:00,2026-04-01 14:00:00+00:00,0.01,0.09,0.12,1018.22,53.89,6.71,11.48,351.26
16,7844,50.05426,19.826462,291.38,2026-04-01 14:00:00+00:00,2026-04-01 15:00:00+00:00,0.02,0.08,0.09,1017.51,55.93,6.65,11.33,0.16
17,7844,50.05426,19.826462,291.38,2026-04-01 15:00:00+00:00,2026-04-01 16:00:00+00:00,0.19,0.64,0.87,1017.05,56.35,6.12,9.47,8.2
18,7844,50.05426,19.826462,291.38,2026-04-01 16:00:00+00:00,2026-04-01 17:00:00+00:00,0.51,1.31,1.78,1016.67,51.17,5.43,8.54,7.18
19,7844,50.05426,19.826462,291.38,2026-04-01 17:00:00+00:00,2026-04-01 18:00:00+00:00,0.68,1.67,2.17,1016.5,56.09,4.91,1.72,274.43
20,7844,50.05426,19.826462,291.38,2026-04-01 18:00:00+00:00,2026-04-01 19:00:00+00:00,0.84,1.49,1.91,1016.61,57.13,4.63,2.85,318.13
21,7844,50.05426,19.826462,291.38,2026-04-01 19:00:00+00:00,2026-04-01 20:00:00+00:00,0.86,1.76,2.08,1016.57,57.25,4.51,3.72,330.38
